pH	Vtit
2,41	11,47889757
2,6	14,17463677
2,66	14,90394669
2,72	15,57531421
2,78	16,19017324
2,85	16,83881801
2,94	17,57041942
3,06	18,38324269
3,09	18,56012333
3,14	18,83358601
3,18	19,03425712
3,25	19,3498062
3,32	19,62426506
3,37	19,79776088
3,45	20,04070266
3,54	20,26957146
3,64	20,47756799
3,75	20,66040246
3,98	20,92804001
4,08	21,00952604
4,33	21,15501889
4,8	21,32367841
5,12	21,44352727
5,25	21,51009785
5,41	21,61783867
5,51	21,70517643
5,58	21,77809462
5,67	21,88912223
5,75	22,00718243
5,89	22,2681252
6,12	22,89837053
6,4	24,15510554
6,61	25,57533853
6,79	27,16683398
6,95	28,85372744
7,12	30,85036611
7,3	33,04974851
7,5	35,37973007
7,53	35,70572435
7,54	35,81267086
7,56	36,02388066
7,58	36,23140526
7,6	36,43512627
7,62	36,63493754
7,63	36,73334718
7,65	36,92712138
7,67	37,11677342
7,69	37,30223909
7,71	37,48346566
7,73	37,66041159
7,74	37,7472693
7,76	37,91773992
7,78	38,08387243
7,81	38,32492771
7,84	38,55623185
7,87	38,77784783
7,91	39,05844704
7,95	39,32234603
7,98	39,5095675
8,03	39,80184905
8,09	40,12137646
8,13	40,31645911
8,17	40,49796906
8,21	40,66659238
8,26	40,8603071
8,32	41,06952066
8,38	41,25554019
8,45	41,44618831
8,53	41,63332528
8,68	41,91075037
8,8	42,0778848
8,95	42,23581502
9,12	42,36553531
9,28	42,45551526
9,45	42,53031997
9,6	42,58729552
9,8	42,66219415
9,92	42,71248282
10,02	42,76078895
10,16	42,84337665
10,23	42,89353855
10,31	42,9602241
10,37	43,01806053
10,43	43,0837925
10,49	43,15864612
10,57	43,27507154
10,81	43,77863979
10,97	44,29990499
11,14	45,10022514
11,25	45,80361723
11,34	46,51976942
11,44333333	47,53526976
11,54333333	48,75959294
11,64333333	50,27765404
11,74333333	52,15883672
11,84333333	54,49155277
11,94333333	57,3919542
12,04333333	61,01883162
