Vtit	pH
0.71	10.90
1.06	10.80
1.48	10.70
1.96	10.60
2.53	10.50
3.21	10.40
4.03	10.30
5.01	10.20
6.18	10.10
7.57	10.00
9.19	9.90
11.06	9.80
13.18	9.70
15.54	9.60
18.12	9.50
20.85	9.40
23.70	9.30
26.58	9.20
29.41	9.10
32.13	9.00
34.68	8.90
37.02	8.80
39.11	8.70
40.94	8.60
42.53	8.50
43.87	8.40
45.01	8.30
45.95	8.20
46.73	8.10
47.37	8.00
47.89	7.90
48.31	7.80
48.65	7.70
48.92	7.60
49.14	7.50
49.31	7.40
49.45	7.30
49.56	7.20
49.65	7.10
49.72	7.00
49.78	6.90
49.83	6.80
49.86	6.70
49.89	6.60
49.91	6.50
49.93	6.40
49.95	6.30
49.96	6.20
49.97	6.00
49.98	5.90
49.99	5.70
50.00	5.40
50.01	5.00
50.02	4.70
50.03	4.50
50.04	4.40
50.05	4.30
50.06	4.20
50.08	4.10
50.10	4.00
50.13	3.90
50.16	3.80
50.20	3.70
50.25	3.60
50.32	3.50
50.40	3.40
50.50	3.30
50.63	3.20
50.80	3.10
51.01	3.00
51.27	2.90
51.61	2.80
52.04	2.70
52.58	2.60
53.27	2.50
54.15	2.40
55.28	2.30
56.73	2.20
58.63	2.10
61.11	2.00
64.40	1.90
68.83	1.80
74.93	1.70
83.54	1.60
96.25	1.50
100	1.48
