pH;Vtit
2,13;6,51
2,26;8,95
2,41;11,48
2,60;14,17
2,66;14,90
2,72;15,58
2,78;16,19
2,85;16,84
2,94;17,57
3,06;18,38
3,09;18,56
3,14;18,83
3,18;19,03
3,25;19,35
3,32;19,62
3,37;19,80
3,45;20,04
3,54;20,27
3,64;20,48
3,75;20,66
3,98;20,93
4,08;21,01
4,33;21,16
4,80;21,32
5,12;21,44
5,25;21,51
5,41;21,62
5,51;21,71
5,58;21,78
5,67;21,89
5,75;22,01
5,89;22,27
6,12;22,90
6,40;24,16
6,61;25,58
6,79;27,17
6,95;28,85
7,12;30,85
7,30;33,05
7,50;35,38
7,53;35,71
7,54;35,81
7,56;36,02
7,58;36,23
7,60;36,44
7,62;36,63
7,63;36,73
7,65;36,93
7,67;37,12
7,69;37,30
7,71;37,48
7,73;37,66
7,74;37,75
7,76;37,92
7,78;38,08
7,81;38,32
7,84;38,56
7,87;38,78
7,91;39,06
7,95;39,32
7,98;39,51
8,03;39,80
8,09;40,12
8,13;40,32
8,17;40,50
8,21;40,67
8,26;40,86
8,32;41,07
8,38;41,26
8,45;41,45
8,53;41,63
8,68;41,91
8,80;42,08
8,95;42,24
9,12;42,37
9,28;42,46
9,45;42,53
9,60;42,59
9,80;42,66
9,92;42,71
10,02;42,76
10,16;42,84
10,23;42,89
10,31;42,96
10,37;43,02
10,43;43,08
10,49;43,16
10,57;43,28
10,81;43,78
10,97;44,30
11,14;45,10
11,25;45,80
11,34;46,52
