Vtit	pH
0,000	2,265
2,499	2,386
4,618	2,664
6,278	2,784
7,499	3,059
8,355	3,302
8,934	3,437
9,318	3,552
9,569	3,823
9,734	3,891
9,844	4,301
9,922	4,118
9,984	4,422
10,042	4,841
10,108	5,186
10,198	5,192
10,328	5,380
10,525	5,567
10,825	5,768
11,278	6,083
11,953	6,222
12,926	6,444
14,267	6,617
16,007	6,828
18,090	6,995
20,362	7,224
22,596	7,537
24,584	7,631
26,199	7,783
27,418	7,983
28,288	8,285
28,885	8,406
29,284	8,629
29,547	8,798
29,720	9,096
29,836	9,085
29,918	9,400
29,983	9,451
30,045	9,812
30,116	10,285
30,212	10,295
30,354	10,522
30,570	10,628
30,905	10,915
31,427	11,085
32,239	11,226
33,495	11,385
35,422	11,677
38,365	11,805
42,878	12,007
50,000	12,224
