Vtit	pH
0,000	2,248
2,144	2,365
4,005	2,551
5,538	2,735
6,745	2,800
7,664	3,021
8,344	3,206
8,837	3,322
9,191	3,558
9,443	3,654
9,622	3,790
9,750	3,970
9,845	4,296
9,918	4,423
9,981	4,316
10,040	4,355
10,106	4,858
10,186	5,136
10,291	5,133
10,436	5,242
10,639	5,434
10,926	5,586
11,329	5,782
11,892	5,933
12,661	6,102
13,686	6,234
14,998	6,424
16,592	6,669
18,407	6,727
20,329	6,920
22,217	7,095
23,941	7,151
25,419	7,451
26,619	7,540
27,551	7,756
28,252	7,913
28,767	7,996
29,138	8,226
29,403	8,424
29,592	8,470
29,727	8,806
29,826	9,047
29,901	8,921
29,963	9,141
30,019	9,320
30,078	9,643
30,148	9,663
30,238	9,805
30,361	10,101
30,534	10,113
30,778	10,441
31,126	10,394
31,619	10,693
32,312	10,789
33,277	10,878
34,596	11,051
36,359	11,370
38,657	11,419
41,585	11,629
45,276	11,730
50,000	11,914
