Vtit	pH
0,00	2,83
0,67	2,98
0,95	3,05
1,36	3,18
1,52	3,23
1,67	3,29
1,85	3,35
2,00	3,42
2,17	3,50
2,36	3,57
2,53	3,65
2,74	3,77
2,85	3,83
2,95	3,89
3,06	3,95
3,17	4,02
3,28	4,08
3,40	4,14
3,50	4,20
3,62	4,26
3,77	4,35
3,89	4,41
4,03	4,47
4,13	4,53
4,27	4,62
4,40	4,68
4,51	4,74
4,72	4,80
4,84	4,87
4,91	4,97
5,02	5,03
5,14	5,10
5,25	5,18
5,36	5,25
5,42	5,31
5,47	5,37
5,57	5,43
5,66	5,49
5,76	5,56
5,86	5,62
5,97	5,69
6,07	5,75
6,17	5,82
6,28	5,89
6,37	5,94
6,47	5,99
6,57	6,06
6,71	6,12
6,81	6,19
6,90	6,26
7,02	6,33
7,11	6,40
7,20	6,48
7,33	6,56
7,41	6,65
7,53	6,76
7,56	6,81
7,60	6,87
7,65	6,93
7,68	7,00
7,75	7,09
7,77	7,19
7,84	7,31
7,87	7,47
7,95	7,69
7,98	8,09
8,03	8,96
8,07	9,50
8,12	9,76
8,16	9,93
8,26	10,16
8,30	10,25
8,36	10,32
8,40	10,38
8,46	10,44
8,49	10,49
8,55	10,54
8,60	10,58
8,66	10,62
8,69	10,66
8,76	10,69
8,78	10,72
8,89	10,77
9,01	10,83
9,10	10,88
9,22	10,92
9,31	10,96
9,46	11,01
9,62	11,06
9,74	11,09
9,94	11,14
10,16	11,19
10,36	11,24
10,57	11,27
10,85	11,32
11,10	11,36
11,37	11,40
11,72	11,44
12,05	11,48
12,36	11,52
12,68	11,55
13,06	11,58
13,51	11,62
14,07	11,66
14,71	11,70
